edad,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p8_1,p8_2,p14_1,p14_2,p20_1,p20_2,p26,p30,p32,p34_4,year,grupo_edad,grupo_edad_numerico,reads_physical,reads_digital
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,31-45,2,0,0
28,2,2,2,1,2,2,0,0,0,0,2,1,45,2,0,2,2019,18-30,1,1,0
66,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,56-70,4,0,0
41,1,2,2,1,2,2,0,0,0,0,2,1,120,3,0,1,2019,31-45,2,1,0
65,1,1,2,2,2,2,2,1,0,0,0,0,30,2,0,2,2019,56-70,4,1,0
43,1,2,1,1,2,2,0,0,2,1,2,1,45,4,0,1,2019,31-45,2,1,0
60,1,2,1,2,2,2,0,0,2,1,0,0,60,3,0,1,2019,56-70,4,1,0
47,1,2,2,1,2,2,0,0,0,0,2,1,60,3,0,1,2019,46-55,3,1,0
23,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,18-30,1,0,0
19,1,1,2,2,1,1,1,2,0,0,0,0,10,3,0,1,2019,18-30,1,1,1
35,1,2,1,1,2,2,0,0,2,1,2,1,10,2,0,2,2019,31-45,2,1,0
44,1,1,1,1,2,2,2,1,1,1,2,1,60,4,0,1,2019,31-45,2,1,0
60,1,1,1,1,2,1,2,1,2,1,2,1,60,3,0,2,2019,56-70,4,1,1
19,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,1,2019,18-30,1,1,1
59,1,1,1,2,2,2,2,1,2,1,0,0,15,2,0,2,2019,56-70,4,1,0
20,1,1,2,2,2,1,1,2,0,0,0,0,20,4,0,1,2019,18-30,1,1,1
78,1,1,1,1,2,2,2,1,2,1,2,1,120,3,0,1,2019,70+,5,1,0
25,1,1,2,2,2,1,1,1,0,0,0,0,30,3,0,1,2019,18-30,1,1,1
19,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2019,18-30,1,0,0
33,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,31-45,2,0,0
41,1,1,1,2,2,1,2,1,2,1,0,0,45,2,0,1,2019,31-45,2,1,1
59,1,2,1,2,2,2,0,0,2,1,0,0,10,2,0,1,2019,56-70,4,1,0
28,1,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,18-30,1,0,0
58,2,2,2,1,2,1,0,0,0,0,2,1,30,3,0,2,2019,56-70,4,1,1
59,1,1,1,2,2,1,1,1,1,1,0,0,60,3,0,1,2019,56-70,4,1,1
59,1,1,1,1,1,1,2,1,2,1,1,2,60,3,0,2,2019,56-70,4,1,1
28,1,1,2,2,2,2,2,1,0,0,0,0,20,2,0,1,2019,18-30,1,1,0
58,1,1,2,2,2,1,2,1,0,0,0,0,15,4,0,2,2019,56-70,4,1,1
47,1,2,2,2,2,1,0,0,0,0,0,0,20,3,0,2,2019,46-55,3,0,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,56-70,4,0,0
24,1,1,1,2,2,1,1,1,2,1,0,0,60,3,0,1,2019,18-30,1,1,1
25,1,1,1,2,1,2,2,1,2,1,0,0,30,2,0,1,2019,18-30,1,1,0
28,2,2,2,2,2,1,0,0,0,0,0,0,3,3,0,1,2019,18-30,1,0,1
29,1,1,1,2,1,2,2,1,2,1,0,0,30,3,0,1,2019,18-30,1,1,0
37,1,1,1,2,2,2,2,1,2,1,0,0,40,3,0,1,2019,31-45,2,1,0
33,2,2,2,2,2,1,0,0,0,0,0,0,60,4,0,1,2019,31-45,2,0,1
41,1,2,2,2,2,1,0,0,0,0,0,0,10,2,0,1,2019,31-45,2,0,1
42,1,2,1,2,2,1,0,0,2,1,0,0,30,3,0,1,2019,31-45,2,1,1
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,56-70,4,0,0
29,2,2,1,2,2,1,0,0,2,1,0,0,60,2,0,1,2019,18-30,1,1,1
39,2,2,2,1,2,1,0,0,0,0,2,1,10,2,0,2,2019,31-45,2,1,1
51,1,1,1,2,2,1,1,2,1,2,0,0,30,3,0,1,2019,46-55,3,1,1
23,2,1,2,2,1,1,2,1,0,0,0,0,30,2,0,1,2019,18-30,1,1,1
31,1,1,2,2,2,1,2,1,0,0,0,0,10,3,0,2,2019,31-45,2,1,1
54,1,1,2,2,2,2,2,1,0,0,0,0,20,2,0,2,2019,46-55,3,1,0
19,1,1,1,2,2,1,2,1,2,1,0,0,60,3,0,1,2019,18-30,1,1,1
26,2,2,1,2,2,2,0,0,2,1,0,0,5,3,0,1,2019,18-30,1,1,0
59,1,2,1,2,2,2,0,0,2,1,0,0,5,1,0,1,2019,56-70,4,1,0
24,2,2,1,1,2,2,0,0,2,1,2,1,15,3,0,1,2019,18-30,1,1,0
33,2,2,2,1,2,2,0,0,0,0,1,2,30,2,0,1,2019,31-45,2,1,0
55,1,1,1,1,2,2,2,1,2,1,2,1,60,3,0,1,2019,46-55,3,1,0
31,1,1,1,2,1,1,2,1,2,1,0,0,30,3,0,1,2019,31-45,2,1,1
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,3,2019,56-70,4,0,0
37,1,1,2,1,2,1,2,1,0,0,2,1,30,3,0,2,2019,31-45,2,1,1
24,1,1,2,1,2,2,2,1,0,0,2,1,60,4,0,1,2019,18-30,1,1,0
31,2,1,1,2,2,1,2,1,2,1,0,0,60,4,0,1,2019,31-45,2,1,1
25,1,1,1,2,2,1,1,2,2,1,0,0,120,4,0,1,2019,18-30,1,1,1
28,2,2,2,1,2,1,0,0,0,0,1,2,30,4,0,1,2019,18-30,1,1,1
24,1,1,1,2,2,1,2,1,2,1,0,0,30,3,0,1,2019,18-30,1,1,1
